Insercao;TempoInsercao;RotacoesInsercao;Remocao;TempoRemocao;RotacoesRemocao;Busca;TempoBusca
10000;0.000990;9976;10000;0.000623;0;1000;0.000003
15000;0.001723;14975;15000;0.000980;0;1500;0.000004
20000;0.002146;19974;20000;0.001245;0;2000;0.000006
25000;0.003465;24973;25000;0.001252;0;2500;0.000005
30000;0.003406;29973;30000;0.001525;0;3000;0.000006
35000;0.003717;34972;35000;0.001779;0;3500;0.000008
40000;0.004568;39972;40000;0.002234;0;4000;0.000009
45000;0.004926;44972;45000;0.002427;0;4500;0.000010
50000;0.005639;49971;50000;0.003154;0;5000;0.000013
